:@computed_region_s6p5_2pgr,balance,citation,councildistrict,description,expmm,expyy,importdate,location,location_2,location_2_address,location_2_city,location_2_state,location_2_zip,make,neighborhood,noticedate,openfine,openpenalty,penaltydate,policedistrict,state,tag,violcode,violdate,violfine
13645.0,0,60854222,,All Other Parking Meter Violations,12.0,18,2017-08-15T04:02:00.000,800 ALICEANNA ST,POINT (-76.600856 39.28321),800 ALICEANNA ST,Baltimore,MD,,BMW,,,32,0,,,MD,9CR9943,18,2017-08-12T13:48:00.000,32
13642.0,0,2885838,11.0,No Parking/Standing In Transit Stop,10.0,17,2017-02-02T04:02:00.000,200 W SARATOGA ST,POINT (-76.618301 39.29293),200 W SARATOGA ST,Baltimore,MD,,TOYT,Downtown,,77,0,,Central,MD,3CDV95,16,2017-01-17T10:07:00.000,77
27953.0,0,2886398,11.0,No Parking/Standing In Transit Stop,3.0,17,2017-02-01T04:01:00.000,1500 LIGHT ST,POINT (-76.611723 39.27263),1500 LIGHT ST,Baltimore,MD,,HOND,South Baltimore,,77,0,,Southern,MD,2AD8991,16,2017-01-28T09:15:00.000,77
13991.0,0,2888543,,No Parking/Standing In Transit Stop,5.0,17,2017-02-02T04:02:00.000,5400 BELAIR RD,POINT (-76.551356 39.338253),5400 BELAIR RD,Baltimore,MD,,DODG,,,77,0,,,MD,5BL9428,16,2017-01-13T20:14:00.000,77
,0,2889848,,No Parking/Standing In Transit Stop,12.0,18,2017-01-18T04:01:00.000,500 S DUNDALK AVE,,500 S DUNDALK AVE,Baltimore,MD,,INTER,,,0,0,,,MD,2A24291,16,2017-01-04T21:47:00.000,77
27953.0,0,2891182,11.0,No Parking/Standing In Transit Stop,3.0,17,2017-02-11T04:02:00.000,1500 LIGHT ST,POINT (-76.611723 39.27263),1500 LIGHT ST,Baltimore,MD,,FORD,South Baltimore,,77,0,,Southern,MD,8AZ9781,16,2017-02-03T21:15:00.000,77
27953.0,0,2891190,11.0,No Parking/Standing In Transit Stop,12.0,18,2017-02-11T04:02:00.000,1500 LIGHT ST,POINT (-76.611723 39.27263),1500 LIGHT ST,Baltimore,MD,,VOLK,South Baltimore,,77,0,,Southern,MD,7CS0965,16,2017-02-03T21:19:00.000,77
27935.0,0,2893964,1.0,No Parking/Standing In Transit Stop,12.0,18,2017-02-14T04:01:00.000,3500 EASTERN AVE,POINT (-76.567994 39.286567),3500 EASTERN AVE,Baltimore,MD,,DODG,Highlandtown,,77,0,,Southeastern,MD,8CR0602,16,2017-02-06T16:19:00.000,77
27953.0,0,2894236,11.0,No Parking/Standing In Transit Stop,10.0,18,2017-02-03T04:02:00.000,1400 LIGHT ST,POINT (-76.611958 39.274143),1400 LIGHT ST,Baltimore,MD,,UNK,South Baltimore,,77,0,,Southern,MD,7BT0516,16,2017-01-29T11:54:00.000,77
,0,2896074,,No Parking/Standing In Transit Stop,3.0,17,2017-02-11T04:02:00.000,UB S CHARLES ST,,,UB S CHARLES ST Baltimore,MD,,CHEV,,,77,0,,,MD,9AZ1732,16,2017-02-07T13:01:00.000,77
27954.0,0,61064177,,No Stopping/Standing Not Tow-Away Zone,,18,2017-08-30T04:02:00.000,400 EDEN ST,POINT (-76.598346 39.28617),400 EDEN ST,Baltimore,MD,,VOLKS,,,32,0,,,MD,8AW0507,12,2017-08-28T17:44:00.000,32
,0,61119633,,Residential Parking Permit Only,3.0,19,2017-07-29T04:02:00.000,3100 CALVERT ST,,3100 CALVERT ST,Baltimore,MD,,HYUND,,,52,0,,,MD,9CS9801,11,2017-07-26T15:26:00.000,52
,0,61129301,,Residential Parking Permit Only,3.0,19,2017-07-29T04:02:00.000,3200 CALVERT ST,,3200 CALVERT ST,Baltimore,MD,,HYUND,,,52,0,,,MD,9CS9801,11,2017-07-27T16:10:00.000,52
13642.0,0,61132123,,No Stopping/Standing Tow Away Zone,2.0,18,2017-08-17T04:02:00.000,600 FAYETTE ST,POINT (-76.62448 39.290265),600 FAYETTE ST,Baltimore,MD,,JAGUA,,,52,0,,,MD,3CG2526,8,2017-08-15T17:01:00.000,52
13645.0,0,61134699,,All Other Parking Meter Violations,10.0,17,2017-08-01T04:02:00.000,1000 FLEET ST,POINT (-76.599955 39.28427),1000 FLEET ST,Baltimore,MD,,TOYOT,,,32,0,,,MD,108M928,18,2017-07-29T17:12:00.000,32
13642.0,77,3057296,11.0,No Parking/Standing In Transit Stop,10.0,17,2017-09-27T04:02:00.000,400 W SARATOGA ST,POINT (-76.621493 39.292805),400 W SARATOGA ST,Baltimore,MD,,VOLK,Downtown,,77,0,,Central,FL,1EVC90,16,2017-09-13T13:00:00.000,77
13642.0,0,3062163,11.0,No Parking/Standing In Transit Stop,6.0,19,2017-08-19T04:02:00.000,200 N EUTAW ST,POINT (-76.621112 39.292121),200 N EUTAW ST,Baltimore,MD,,HOND,Downtown,,77,0,,Central,MD,3CW8460,16,2017-08-01T11:10:00.000,77
,0,61153566,,Residential Parking Permit Only,3.0,19,2017-08-03T04:02:00.000,3100 CALVERT ST,,3100 CALVERT ST,Baltimore,MD,,HYUND,,,52,0,,,MD,9CS9801,11,2017-07-31T15:39:00.000,52
13642.0,0,3062205,11.0,No Parking/Standing In Transit Stop,6.0,19,2017-11-15T04:02:00.000,200 N EUTAW ST,POINT (-76.621112 39.292121),200 N EUTAW ST,Baltimore,MD,,JAGUA,Downtown,,252,0,,Central,MD,7ATZ59,16,2017-10-10T07:16:00.000,252
